id,city_id,followers,following,created_at,updated_at
33749746,,0,0,2017-11-17,2017-11-17
33831855,0,18,19,2017-11-20,2024-03-28
33861085,,35,21,2017-11-21,2024-03-10
33871687,,1,0,2017-11-21,2024-02-06
33907720,0,0,0,2017-11-22,2024-02-28
33947391,0,10,1,2017-11-24,2022-09-14
33977992,,26,17,2017-11-25,2024-03-21
33984632,,0,0,2017-11-25,2017-11-25
34067013,,0,0,2017-11-28,2022-06-07
34164669,0,0,1,2017-12-01,2024-03-21
34401880,0,0,0,2017-12-09,2022-08-17
34671981,,0,0,2017-12-19,2023-11-20
34682825,,7,0,2017-12-19,2023-11-10
34716207,0,0,2,2017-12-20,2022-11-23
34800399,,0,0,2017-12-23,2024-01-23
34924212,0,11,13,2017-12-28,2024-03-26
35003387,0,3,0,2018-01-01,2023-07-03
35021899,,0,0,2018-01-02,2021-08-13
35046818,0,10,11,2018-01-02,2024-03-15
35137020,0,6,3,2018-01-05,2023-08-30
35253108,0,0,0,2018-01-09,2020-11-06
35785555,,0,0,2018-01-24,2019-11-21
35900188,0,0,1,2018-01-28,2023-09-20
35953505,,1,0,2018-01-30,2024-03-14
36140262,,0,3,2018-02-04,2021-03-23
36192225,,0,2,2018-02-06,2024-01-02
36200227,0,0,0,2018-02-06,2023-09-27
36237054,,10,18,2018-02-07,2024-03-26
36265803,0,0,1,2018-02-08,2024-03-25
36325257,,9,6,2018-02-10,2024-02-29
36434948,,0,4,2018-02-13,2020-11-19
36468354,0,0,0,2018-02-14,2021-12-21
36483200,0,0,0,2018-02-14,2024-02-20
36505998,3,2,3,2018-02-15,2023-11-20
36619381,,0,0,2018-02-19,2022-12-15
36689259,,0,0,2018-02-21,2018-02-22
36806251,,0,0,2018-02-25,2024-01-07
36819440,0,0,0,2018-02-25,2023-06-08
36850693,0,1,0,2018-02-26,2024-01-28
36881559,,6,18,2018-02-27,2024-03-09
36961083,0,0,0,2018-03-01,2023-08-07
37018899,0,0,0,2018-03-03,2022-05-04
37202115,0,0,0,2018-03-09,2018-03-09
37243873,,54,26,2018-03-10,2024-04-01
37272945,0,15,0,2018-03-11,2020-11-20
37326584,1,1,6,2018-03-13,2023-02-06
37329682,,0,0,2018-03-13,2018-04-10
37635729,0,66,164,2018-03-21,2024-04-03
37686832,,3,11,2018-03-23,2023-06-06
37707479,0,14,16,2018-03-23,2024-03-16
37711548,0,0,0,2018-03-23,2021-07-21
37825988,1,0,0,2018-03-27,2022-12-20
38020305,0,53,30,2018-04-02,2024-04-05
38070519,0,5,4,2018-04-04,2024-03-05
38094400,,1,2,2018-04-05,2022-06-23
38291490,,16,25,2018-04-11,2023-11-21
38292962,,1,11,2018-04-11,2024-03-16
