id,city_id,followers,following,created_at,updated_at
18194047,0,11,7,2016-03-31,2023-08-28
18216969,0,1,12,2016-04-01,2023-10-05
18285082,0,20,120,2016-04-05,2024-01-27
18400142,0,271,47,2016-04-11,2024-02-13
18407118,0,0,0,2016-04-11,2020-03-28
18415360,0,10,24,2016-04-12,2023-07-16
18603314,0,13,83,2016-04-21,2024-01-19
18709463,0,2,5,2016-04-27,2024-02-06
18726326,,0,0,2016-04-28,2020-09-10
19157803,,0,0,2016-05-02,2016-05-02
19210598,,0,1,2016-05-05,2022-09-19
19254270,,18,35,2016-05-08,2023-12-25
19359776,0,46,49,2016-05-14,2023-10-06
19366367,,0,0,2016-05-14,2023-10-11
19436752,0,1,0,2016-05-18,2024-01-25
19644754,0,1,16,2016-05-30,2024-01-25
19708061,0,1,2,2016-06-02,2022-06-22
19786159,0,0,2,2016-06-06,2023-12-07
19816874,0,0,6,2016-06-08,2024-02-01
19908522,0,0,0,2016-06-13,2016-06-13
20014859,0,0,4,2016-06-18,2021-12-22
20244168,,3,0,2016-07-01,2024-02-11
20360517,,0,0,2016-07-08,2023-09-14
20440015,0,0,0,2016-07-13,2023-11-15
20453914,6,0,0,2016-07-14,2016-07-14
20488304,,10,14,2016-07-16,2024-02-14
20513587,0,17,10,2016-07-18,2023-08-06
20571696,0,10,15,2016-07-21,2023-10-24
20599605,0,2,9,2016-07-22,2024-01-01
20662186,0,25,26,2016-07-26,2023-07-06
20669844,,0,0,2016-07-26,2016-07-28
20702024,,8,27,2016-07-28,2023-09-19
20710519,0,3,4,2016-07-28,2023-10-02
20720292,,2,0,2016-07-29,2022-11-23
20819246,,2,4,2016-08-03,2023-12-01
20823137,0,0,0,2016-08-03,2022-01-09
20905674,,8,4,2016-08-08,2024-02-12
21008078,,1,1,2016-08-13,2023-10-11
21030639,,0,0,2016-08-15,2021-02-01
21140773,0,0,0,2016-08-20,2016-08-20
21173591,0,0,0,2016-08-22,2016-08-31
21173667,0,0,0,2016-08-22,2022-07-31
21173712,0,1,2,2016-08-22,2024-01-20
21173725,0,0,0,2016-08-22,2024-01-22
21192973,0,2,17,2016-08-23,2024-01-18
21193374,,2,0,2016-08-23,2024-02-12
21215054,,0,0,2016-08-24,2016-08-24
21338448,0,0,0,2016-08-30,2016-08-30
21342696,0,4,21,2016-08-30,2024-02-02
22010172,,2,3,2016-09-05,2023-08-11
22028176,,0,1,2016-09-06,2023-11-27
22245869,5,27,33,2016-09-16,2024-02-01
22305507,0,0,0,2016-09-19,2021-04-26
22320756,0,1,0,2016-09-20,2017-08-21
22327331,,0,2,2016-09-20,2024-01-10
22341964,0,11,39,2016-09-21,2024-01-16
22344536,0,0,0,2016-09-21,2020-10-04
22374063,0,11,8,2016-09-22,2024-02-07
22524099,0,0,7,2016-09-29,2024-02-06
22546608,,0,0,2016-09-30,2016-09-30
22590615,,0,0,2016-10-03,2021-12-02
22592370,,3,1,2016-10-03,2024-01-02
22597065,0,4,4,2016-10-03,2024-01-22
22640209,0,0,0,2016-10-05,2023-02-28
22657992,0,10,13,2016-10-06,2024-01-19
22690816,,0,0,2016-10-07,2023-09-19
22708869,0,0,0,2016-10-08,2016-10-12
22891380,,0,1,2016-10-17,2020-03-09
22938962,,2,7,2016-10-19,2023-09-28
23185608,0,36,52,2016-11-01,2024-01-18
23280298,,0,0,2016-11-05,2022-02-07
23450230,0,0,0,2016-11-14,2017-07-02
23471059,,0,0,2016-11-15,2022-11-13
23504226,,0,0,2016-11-16,2016-11-16
23555833,0,23,35,2016-11-18,2024-02-10
23740775,0,70,43,2016-11-25,2024-02-03
23740856,0,32,26,2016-11-25,2023-10-07
24277044,,1,8,2016-11-30,2023-04-29
24382601,6,1,2,2016-12-05,2023-06-21
24395031,0,3,11,2016-12-05,2023-12-22
24415579,,4,10,2016-12-06,2024-01-13
24649838,,0,0,2016-12-19,2022-09-14
24765887,,9,0,2016-12-25,2024-02-13
24790605,,0,0,2016-12-27,2017-01-20
24827083,0,1,6,2016-12-29,2023-07-30
24876371,,0,0,2017-01-02,2017-01-11
24903262,0,0,0,2017-01-03,2024-01-24
24928542,0,6,5,2017-01-05,2024-01-04
24961647,0,5,3,2017-01-06,2024-02-11
25033468,,0,0,2017-01-10,2018-11-19
25073518,0,3,16,2017-01-12,2023-07-31
25107827,0,0,1,2017-01-13,2022-06-24
25184743,0,1,1,2017-01-17,2023-11-30
25220784,,0,8,2017-01-19,2021-12-01
25408008,,0,0,2017-01-28,2020-08-16
25586893,,0,0,2017-02-06,2024-01-30
25661908,0,2,5,2017-02-09,2024-01-16
25786689,0,2,0,2017-02-15,2017-02-15
25800161,,1,2,2017-02-15,2023-08-07
25843851,,1,7,2017-02-17,2024-02-12
25931668,,3,2,2017-02-21,2023-10-13
25931737,,0,0,2017-02-21,2021-08-31
25981029,,0,0,2017-02-23,2023-04-25
25992878,,0,0,2017-02-24,2017-08-17
26020971,,0,0,2017-02-25,2024-02-01
26120352,0,0,2,2017-03-01,2021-07-15
26214872,0,2,2,2017-03-06,2024-01-04
26296578,0,0,1,2017-03-09,2023-11-23
26549683,0,0,0,2017-03-20,2023-01-12
26558566,,0,0,2017-03-21,2017-03-21
26708649,,5,17,2017-03-27,2024-01-17
26734195,,0,0,2017-03-28,2017-03-28
26787752,0,0,1,2017-03-30,2021-04-19
26844915,,51,116,2017-04-01,2024-02-13
26909784,0,0,1,2017-04-04,2019-05-18
27003946,0,1,1,2017-04-07,2017-04-07
27234174,0,0,0,2017-04-10,2023-10-24
27306140,,1,4,2017-04-11,2023-10-20
27340179,0,0,0,2017-04-12,2019-05-02
27642985,0,3,8,2017-04-16,2023-06-20
27668113,0,0,0,2017-04-17,2017-04-17
